Name,SRM_Email_ID,Password,Subject,Internal_Marks,Attendance_Percentage
Saanvi Menon,sm7050@srmist.edu.in,L@8aqXoF,UHV-II,53,54.71
Saanvi Menon,sm7050@srmist.edu.in,L@8aqXoF,COMPUTER ORGANIZATION AND ARCHITECTURE,53,65.9
Saanvi Menon,sm7050@srmist.edu.in,L@8aqXoF,ADVANCED PROGRAMMING PRACTICE,48,90.58
Saanvi Menon,sm7050@srmist.edu.in,L@8aqXoF,DATA STRUCTURES AND ALGORITHMS,35,80.75
Saanvi Menon,sm7050@srmist.edu.in,L@8aqXoF,DATA STRUCTURES AND ALGORITHMS LAB,41,96.91
Saanvi Menon,sm7050@srmist.edu.in,L@8aqXoF,PROFESSIONAL ETHICS,38,64.74
Saanvi Menon,sm7050@srmist.edu.in,L@8aqXoF,OBJECT ORIENTED DESIGN AND PROGRAMMING,41,93.22
Saanvi Menon,sm7050@srmist.edu.in,L@8aqXoF,RASPBERRY PI FUNDAMENTALS,47,70.73
Krishna Khatri,kk4969@srmist.edu.in,*UK$Ro&N,UHV-II,48,81.93
Krishna Khatri,kk4969@srmist.edu.in,*UK$Ro&N,COMPUTER ORGANIZATION AND ARCHITECTURE,36,84.49
Krishna Khatri,kk4969@srmist.edu.in,*UK$Ro&N,ADVANCED PROGRAMMING PRACTICE,56,75.53
Krishna Khatri,kk4969@srmist.edu.in,*UK$Ro&N,DATA STRUCTURES AND ALGORITHMS,32,58.55
Krishna Khatri,kk4969@srmist.edu.in,*UK$Ro&N,DATA STRUCTURES AND ALGORITHMS LAB,46,98.93
Krishna Khatri,kk4969@srmist.edu.in,*UK$Ro&N,PROFESSIONAL ETHICS,54,55.04
Krishna Khatri,kk4969@srmist.edu.in,*UK$Ro&N,OBJECT ORIENTED DESIGN AND PROGRAMMING,46,64.42
Krishna Khatri,kk4969@srmist.edu.in,*UK$Ro&N,RASPBERRY PI FUNDAMENTALS,45,70.73
Saanvi Sharma,ss3092@srmist.edu.in,0Nb3SqRa,UHV-II,57,67.6
Saanvi Sharma,ss3092@srmist.edu.in,0Nb3SqRa,COMPUTER ORGANIZATION AND ARCHITECTURE,34,97.01
Saanvi Sharma,ss3092@srmist.edu.in,0Nb3SqRa,ADVANCED PROGRAMMING PRACTICE,42,62.57
Saanvi Sharma,ss3092@srmist.edu.in,0Nb3SqRa,DATA STRUCTURES AND ALGORITHMS,53,69.83
Saanvi Sharma,ss3092@srmist.edu.in,0Nb3SqRa,DATA STRUCTURES AND ALGORITHMS LAB,44,85.43
Saanvi Sharma,ss3092@srmist.edu.in,0Nb3SqRa,PROFESSIONAL ETHICS,33,55.33
Saanvi Sharma,ss3092@srmist.edu.in,0Nb3SqRa,OBJECT ORIENTED DESIGN AND PROGRAMMING,52,53.71
Saanvi Sharma,ss3092@srmist.edu.in,0Nb3SqRa,RASPBERRY PI FUNDAMENTALS,56,99.4
Manish Basak,mb7764@srmist.edu.in,qRc$fQtL,UHV-II,59,50.66
Manish Basak,mb7764@srmist.edu.in,qRc$fQtL,COMPUTER ORGANIZATION AND ARCHITECTURE,59,76.28
Manish Basak,mb7764@srmist.edu.in,qRc$fQtL,ADVANCED PROGRAMMING PRACTICE,46,77.83
Manish Basak,mb7764@srmist.edu.in,qRc$fQtL,DATA STRUCTURES AND ALGORITHMS,49,79.09
Manish Basak,mb7764@srmist.edu.in,qRc$fQtL,DATA STRUCTURES AND ALGORITHMS LAB,38,61.33
Manish Basak,mb7764@srmist.edu.in,qRc$fQtL,PROFESSIONAL ETHICS,37,89.27
Manish Basak,mb7764@srmist.edu.in,qRc$fQtL,OBJECT ORIENTED DESIGN AND PROGRAMMING,34,60.67
Manish Basak,mb7764@srmist.edu.in,qRc$fQtL,RASPBERRY PI FUNDAMENTALS,43,56.59
Vihaan Reddy,vr4749@srmist.edu.in,E8NVJfq6,UHV-II,32,76.08
Vihaan Reddy,vr4749@srmist.edu.in,E8NVJfq6,COMPUTER ORGANIZATION AND ARCHITECTURE,32,74.96
Vihaan Reddy,vr4749@srmist.edu.in,E8NVJfq6,ADVANCED PROGRAMMING PRACTICE,52,83.11
Vihaan Reddy,vr4749@srmist.edu.in,E8NVJfq6,DATA STRUCTURES AND ALGORITHMS,51,52.87
Vihaan Reddy,vr4749@srmist.edu.in,E8NVJfq6,DATA STRUCTURES AND ALGORITHMS LAB,42,66.28
Vihaan Reddy,vr4749@srmist.edu.in,E8NVJfq6,PROFESSIONAL ETHICS,35,53.36
Vihaan Reddy,vr4749@srmist.edu.in,E8NVJfq6,OBJECT ORIENTED DESIGN AND PROGRAMMING,46,55.41
Vihaan Reddy,vr4749@srmist.edu.in,E8NVJfq6,RASPBERRY PI FUNDAMENTALS,59,97.29
Sneha Kumar,sk9713@srmist.edu.in,o7$AN9d@,UHV-II,59,58.13
Sneha Kumar,sk9713@srmist.edu.in,o7$AN9d@,COMPUTER ORGANIZATION AND ARCHITECTURE,41,77.04
Sneha Kumar,sk9713@srmist.edu.in,o7$AN9d@,ADVANCED PROGRAMMING PRACTICE,48,88.53
Sneha Kumar,sk9713@srmist.edu.in,o7$AN9d@,DATA STRUCTURES AND ALGORITHMS,31,62.51
Sneha Kumar,sk9713@srmist.edu.in,o7$AN9d@,DATA STRUCTURES AND ALGORITHMS LAB,45,75.73
